lnwage,educ,exper,expsq,black,south,smsa,age,agesq,nearc4
0,0,841,6.3063,29,16,1,2.56,7,1
0,0,729,6.1759,27,9,0,0.81,12,1
0,0,1156,6.5806,34,16,0,2.56,12,1
1,0,729,5.5215,27,10,0,1.0,11,1
1,0,1156,6.5917,34,16,0,2.56,12,1
1,0,676,6.2146,26,8,0,0.64,12,1
1,0,1089,6.3368,33,9,0,0.81,18,1
1,0,841,6.4102,29,9,0,0.81,14,1
1,0,784,6.0521,28,10,0,1.0,12,1
1,0,841,6.2442,29,11,0,1.21,12,1
1,0,784,5.4161,28,13,0,1.69,9,1
1,0,676,5.9915,26,8,0,0.64,12,1
1,0,576,6.0331,24,7,0,0.49,11,1
1,0,900,5.3799,30,13,0,1.69,11,1
1,0,961,6.7957,31,9,1,0.81,16,1
1,0,576,5.7038,24,4,0,0.16,14,1
1,0,1156,5.8464,34,16,0,2.56,12,1
1,0,841,6.4892,29,9,0,0.81,14,1
1,0,676,6.3544,26,10,0,1.0,10,1
1,0,1024,6.4754,32,14,0,1.96,12,1
1,1,1024,6.8501,32,8,0,0.64,18,1
1,0,1156,6.42,34,10,0,1.0,18,1
1,0,1024,6.5876,32,11,0,1.21,15,0
1,0,784,6.4036,28,10,0,1.0,12,1
1,0,1024,6.541,32,14,0,1.96,12,1
1,0,1156,7.2442,34,10,0,1.0,18,0
1,0,676,5.7038,26,8,0,0.64,12,1
1,0,1024,7.4955,32,8,0,0.64,18,1
1,0,625,6.0234,25,7,0,0.49,12,1
1,0,841,6.4489,29,9,0,0.81,14,0
1,0,625,5.3375,25,7,0,0.49,12,1
1,0,625,6.1247,25,7,1,0.49,12,1
1,0,576,6.7142,24,2,0,0.04,16,1
1,0,1156,6.3578,34,10,0,1.0,18,1
1,0,784,5.5413,28,11,0,1.21,11,1
1,0,900,6.869,30,8,0,0.64,16,1
1,0,961,6.8501,31,15,0,2.25,10,1
1,0,1156,7.044,34,10,0,1.0,18,1
1,0,729,5.7807,27,15,0,2.25,6,1
1,0,576,5.4596,24,7,1,0.49,11,1
1,0,1156,6.9078,34,16,0,2.56,12,1
1,0,676,6.1759,26,11,0,1.21,9,1
1,0,1024,6.4362,32,11,0,1.21,15,1
1,0,1156,6.477,34,17,0,2.89,11,1
1,0,576,5.8406,24,6,1,0.36,12,1
1,1,576,5.9402,24,2,0,0.04,16,1
1,0,576,5.8665,24,6,0,0.36,12,1
1,0,625,6.4907,25,6,0,0.36,13,1
1,0,784,6.4313,28,5,0,0.25,17,1
1,0,625,6.0868,25,7,0,0.49,12,1
1,0,676,6.6039,26,8,1,0.64,12,1
1,1,961,5.6348,31,14,1,1.96,11,0
1,0,576,6.073,24,8,0,0.64,10,1
1,0,729,6.5582,27,9,0,0.81,12,1
1,0,729,6.0521,27,9,0,0.81,12,1
1,0,576,6.3474,24,6,0,0.36,12,1
1,0,900,6.2879,30,8,0,0.64,16,1
1,0,1024,6.6067,32,10,0,1.0,16,1
1,0,1024,6.5117,32,13,0,1.69,13,1
1,0,1156,6.6451,34,16,0,2.56,12,1
1,0,576,6.3835,24,6,0,0.36,12,1
1,0,576,5.3613,24,9,1,0.81,9,1
1,0,1156,7.3544,34,12,0,1.44,16,1
1,0,784,6.6516,28,6,0,0.36,16,1
1,1,676,6.3969,26,8,0,0.64,12,1
1,0,576,6.541,24,0,0,0.0,18,1
1,0,961,6.3456,31,12,0,1.44,13,1
1,0,784,6.0707,28,8,0,0.64,14,1
1,0,784,6.2879,28,7,0,0.49,15,1
1,0,625,6.4409,25,7,0,0.49,12,1
1,0,961,6.1759,31,17,0,2.89,8,1
1,0,676,6.3008,26,8,0,0.64,12,1
1,0,625,6.3561,25,7,0,0.49,12,1
1,0,625,6.5511,25,3,0,0.09,16,1
1,0,784,6.6695,28,6,0,0.36,16,1
1,0,729,6.9197,27,4,0,0.16,17,1
1,0,576,6.6307,24,6,0,0.36,12,1
1,0,841,6.3986,29,9,0,0.81,14,1
1,0,576,5.6454,24,6,0,0.36,12,1
1,0,576,5.5215,24,6,0,0.36,12,1
1,0,676,6.2146,26,8,0,0.64,12,1
1,0,961,6.3099,31,14,0,1.96,11,1
1,0,625,7.0414,25,7,0,0.49,12,1
1,1,961,6.697,31,7,0,0.49,18,1
1,0,784,5.7462,28,10,1,1.0,12,1
1,0,625,6.5944,25,1,0,0.01,18,1
1,0,625,6.4378,25,3,0,0.09,16,1
1,0,576,6.3767,24,4,0,0.16,14,1
1,0,676,5.9269,26,6,0,0.36,14,1
1,1,841,6.7056,29,7,0,0.49,16,1
1,0,900,6.7627,30,10,0,1.0,14,1
1,1,784,5.8579,28,7,0,0.49,15,1
1,1,576,5.3083,24,5,0,0.25,13,1
1,1,1024,6.2246,32,13,0,1.69,13,1
1,0,900,6.7044,30,7,0,0.49,17,1
1,0,676,6.4378,26,2,0,0.04,18,1
1,0,1024,6.6451,32,8,0,0.64,18,1
1,0,729,6.2146,27,4,0,0.16,17,1
1,0,729,6.4281,27,4,0,0.16,17,1
1,0,900,6.477,30,12,0,1.44,12,1
1,0,784,6.6451,28,4,0,0.16,18,1
1,0,676,6.2383,26,8,0,0.64,12,1
1,0,961,6.4378,31,7,0,0.49,18,1
1,0,961,7.013,31,11,0,1.21,14,1
1,0,784,6.5806,28,9,0,0.81,13,1
1,0,1024,7.051,32,12,0,1.44,14,1
1,0,1156,6.7178,34,10,0,1.0,18,0
1,0,1156,6.8276,34,12,0,1.44,16,1
1,0,784,6.981,28,5,0,0.25,17,1
1,0,1089,6.4378,33,15,0,2.25,12,1
1,0,729,6.1312,27,8,0,0.64,13,1
1,0,576,6.8024,24,4,1,0.16,14,1
1,0,841,6.525,29,5,0,0.25,18,1
1,0,576,6.0186,24,6,0,0.36,12,1
1,0,729,6.4378,27,8,0,0.64,13,1
1,0,1024,6.9127,32,8,0,0.64,18,1
1,0,576,6.5862,24,7,0,0.49,11,1
1,0,729,6.6201,27,6,0,0.36,15,1
1,0,841,6.271,29,9,0,0.81,14,1
1,0,841,6.8794,29,6,0,0.36,17,1
1,0,676,6.157,26,8,0,0.64,12,0
1,0,576,5.7838,24,6,0,0.36,12,1
1,0,1156,6.7742,34,16,0,2.56,12,1
1,0,1156,6.4378,34,15,0,2.25,13,1
1,0,676,5.8201,26,8,0,0.64,12,1
1,0,729,6.1759,27,5,0,0.25,16,1
1,0,841,6.477,29,14,0,1.96,9,1
1,0,625,5.948,25,3,0,0.09,16,1
1,0,900,6.869,30,6,0,0.36,18,1
1,0,841,6.4216,29,7,0,0.49,16,0
1,0,784,6.5539,28,8,0,0.64,14,1
1,0,961,6.4536,31,11,0,1.21,14,1
1,0,784,5.2983,28,10,0,1.0,12,1
1,0,729,6.7056,27,9,0,0.81,12,1
1,0,676,6.3578,26,6,0,0.36,14,1
1,0,676,6.1442,26,3,0,0.09,17,1
1,0,841,6.8287,29,7,0,0.49,16,1
1,1,961,6.6758,31,9,0,0.81,16,1
1,0,784,6.4536,28,8,0,0.64,14,1
1,0,625,6.3456,25,7,0,0.49,12,1
1,0,841,6.5582,29,7,0,0.49,16,1
1,0,784,6.4536,28,8,0,0.64,14,1
1,0,900,6.5425,30,12,0,1.44,12,1
1,0,1156,6.4216,34,15,0,2.25,13,1
1,0,676,6.1356,26,4,0,0.16,16,1
1,0,1156,6.7627,34,16,0,2.56,12,1
1,1,1089,6.6026,33,9,0,0.81,18,1
1,0,625,7.2442,25,7,0,0.49,12,1
1,0,961,6.6946,31,13,0,1.69,12,1
1,0,676,6.4831,26,4,0,0.16,16,1
1,0,625,5.7038,25,7,0,0.49,12,1
1,0,900,6.3578,30,8,0,0.64,16,1
1,0,576,5.5797,24,2,0,0.04,16,1
1,0,961,6.3869,31,7,0,0.49,18,0
1,0,676,5.7838,26,3,0,0.09,17,1
1,0,576,5.9532,24,2,0,0.04,16,0
1,0,625,6.9078,25,1,0,0.01,18,1
1,0,784,6.142,28,4,0,0.16,18,1
1,0,784,6.0868,28,6,0,0.36,16,1
1,0,729,6.4378,27,5,0,0.25,16,1
1,0,729,5.6525,27,4,0,0.16,17,1
1,0,729,6.477,27,7,0,0.49,14,1
1,0,625,6.6946,25,6,0,0.36,13,1
1,0,576,6.2146,24,6,0,0.36,12,1
1,0,676,6.7226,26,4,0,0.16,16,1
1,0,961,6.2146,31,13,0,1.69,12,1
1,0,1024,6.541,32,9,0,0.81,17,1
1,0,729,7.0031,27,9,0,0.81,12,1
1,0,625,6.6373,25,7,0,0.49,12,1
1,0,729,6.6783,27,9,0,0.81,12,1
1,0,625,5.8081,25,3,0,0.09,16,1
1,0,900,6.0137,30,6,0,0.36,18,1
1,0,729,6.7627,27,5,0,0.25,16,1
1,0,961,6.789,31,13,0,1.69,12,1
1,0,1156,6.5117,34,16,0,2.56,12,1
1,0,1089,6.5511,33,15,0,2.25,12,0
1,1,1089,5.5215,33,9,0,0.81,18,1
1,0,729,6.4378,27,10,0,1.0,11,1
1,0,961,6.0331,31,12,0,1.44,13,1
1,0,784,6.3561,28,9,0,0.81,13,1
1,0,676,6.4184,26,8,1,0.64,12,1
1,0,961,6.5511,31,13,0,1.69,12,1
1,0,576,6.1092,24,6,0,0.36,12,1
1,0,784,6.2146,28,6,0,0.36,16,1
1,0,625,6.2422,25,7,0,0.49,12,0
1,0,625,5.5215,25,3,0,0.09,16,1
1,0,576,5.7526,24,6,0,0.36,12,0
1,0,841,5.9269,29,11,0,1.21,12,1
1,0,1156,6.1247,34,13,0,1.69,15,0
1,0,729,5.6168,27,9,1,0.81,12,1
1,0,784,6.8575,28,10,0,1.0,12,1
1,0,1024,7.0166,32,10,0,1.0,16,1
1,0,625,5.6664,25,3,0,0.09,16,0
1,0,625,6.2146,25,3,0,0.09,16,1
1,0,1024,6.5876,32,8,0,0.64,18,1
1,0,841,7.1428,29,5,0,0.25,18,1
1,0,676,6.4184,26,3,1,0.09,17,1
1,0,784,6.3008,28,10,0,1.0,12,1
1,0,784,5.6276,28,9,0,0.81,13,1
1,0,1156,7.2738,34,10,0,1.0,18,1
1,0,729,6.9027,27,5,0,0.25,16,1
1,0,841,6.5511,29,11,0,1.21,12,1
1,0,784,6.3578,28,6,0,0.36,16,1
1,0,961,6.7546,31,9,0,0.81,16,1
1,0,784,6.5309,28,10,0,1.0,12,1
1,0,961,6.7238,31,10,0,1.0,15,1
1,0,1089,6.4505,33,14,0,1.96,13,1
1,0,1024,6.5352,32,14,0,1.96,12,1
1,0,900,6.6451,30,10,0,1.0,14,1
1,0,729,5.9532,27,6,0,0.36,15,1
1,0,576,6.1092,24,6,0,0.36,12,1
1,0,729,6.4216,27,9,0,0.81,12,1
1,0,1156,6.525,34,16,0,2.56,12,1
1,0,1024,6.5073,32,16,0,2.56,10,1
1,0,1089,6.6846,33,16,0,2.56,11,1
1,0,1156,6.2246,34,14,0,1.96,14,1
1,0,900,6.9334,30,6,0,0.36,18,1
1,0,625,6.6451,25,4,0,0.16,15,1
1,1,1024,5.6699,32,16,0,2.56,10,1
1,0,784,6.271,28,9,0,0.81,13,1
1,0,841,7.051,29,7,0,0.49,16,1
1,0,841,6.3081,29,13,0,1.69,10,1
1,0,676,6.1633,26,8,0,0.64,12,1
1,0,676,6.1092,26,8,0,0.64,12,1
1,0,729,6.7742,27,4,0,0.16,17,1
1,0,625,5.2983,25,4,0,0.16,15,1
1,0,676,5.7038,26,7,0,0.49,13,0
1,0,625,6.1356,25,3,0,0.09,16,0
1,0,900,5.9532,30,12,0,1.44,12,1
1,0,1024,7.1562,32,11,0,1.21,15,1
1,0,625,6.3767,25,3,0,0.09,16,1
1,0,729,6.3969,27,9,0,0.81,12,1
1,0,900,6.2146,30,8,0,0.64,16,1
1,0,1089,6.0868,33,15,1,2.25,12,1
1,1,676,6.1463,26,2,0,0.04,18,1
1,0,841,6.8341,29,6,0,0.36,17,1
1,0,729,6.3208,27,5,0,0.25,16,1
1,0,576,6.0822,24,5,0,0.25,13,1
1,0,841,6.3969,29,11,1,1.21,12,1
1,0,676,6.3544,26,8,1,0.64,12,1
1,0,676,5.9636,26,8,1,0.64,12,1
1,0,1156,6.6783,34,16,0,2.56,12,0
1,0,729,6.1549,27,3,0,0.09,18,1
1,0,676,5.3083,26,3,0,0.09,17,1
1,0,576,5.2983,24,1,0,0.01,17,1
1,0,576,5.8579,24,1,0,0.01,17,1
1,0,576,5.9269,24,4,0,0.16,14,0
1,0,625,6.1759,25,3,0,0.09,16,1
1,0,961,6.869,31,7,0,0.49,18,1
1,0,729,6.0474,27,6,0,0.36,15,1
1,0,729,6.2146,27,6,0,0.36,15,1
1,0,900,6.1092,30,15,0,2.25,9,1
1,0,784,6.1654,28,14,0,1.96,8,1
1,0,576,4.9127,24,6,0,0.36,12,1
1,0,1024,6.3544,32,14,0,1.96,12,1
1,0,1089,6.3578,33,15,0,2.25,12,1
1,0,961,5.7366,31,13,0,1.69,12,1
1,0,900,6.5511,30,15,0,2.25,9,1
1,0,1024,7.1869,32,12,0,1.44,14,1
1,0,1156,6.3117,34,18,0,3.24,10,1
1,0,900,6.7811,30,7,0,0.49,17,1
1,0,625,6.6333,25,7,0,0.49,12,1
1,0,1024,6.5624,32,14,0,1.96,12,1
1,0,676,6.0521,26,8,0,0.64,12,1
1,0,676,6.0568,26,8,0,0.64,12,1
1,0,576,6.3561,24,2,0,0.04,16,1
1,0,1024,5.9915,32,17,0,2.89,9,1
1,0,961,6.2146,31,13,0,1.69,12,0
1,0,784,6.2748,28,10,0,1.0,12,0
1,0,784,6.5117,28,6,0,0.36,16,1
1,1,729,6.3578,27,5,0,0.25,16,1
1,0,576,5.7838,24,2,0,0.04,16,1
1,0,841,6.2146,29,12,0,1.44,11,0
1,0,625,6.6464,25,7,0,0.49,12,0
1,0,676,6.2146,26,8,0,0.64,12,1
1,0,784,5.9687,28,6,0,0.36,16,1
1,0,1156,6.697,34,16,0,2.56,12,1
1,0,1156,6.2971,34,19,1,3.61,9,0
1,0,1156,6.3852,34,19,1,3.61,9,0
1,0,625,6.7616,25,2,0,0.04,17,1
1,0,784,6.5511,28,12,1,1.44,10,0
1,0,625,6.2344,25,7,0,0.49,12,0
1,0,1156,6.4216,34,15,0,2.25,13,1
1,0,841,6.6346,29,9,0,0.81,14,1
1,0,961,6.2005,31,15,0,2.25,10,1
1,0,576,6.0981,24,2,0,0.04,16,1
1,0,625,6.0521,25,7,0,0.49,12,1
1,0,576,6.6201,24,2,0,0.04,16,1
1,0,576,6.5511,24,2,0,0.04,16,1
1,0,576,6.0822,24,6,0,0.36,12,1
1,0,841,6.4102,29,11,0,1.21,12,1
1,0,576,6.1092,24,5,0,0.25,13,1
1,0,676,5.7462,26,17,0,2.89,3,1
1,0,1089,5.5215,33,20,1,4.0,7,1
1,0,1089,6.2146,33,13,0,1.69,14,1
0,0,676,5.8999,26,8,0,0.64,12,1
0,0,676,6.7007,26,8,0,0.64,12,1
0,0,625,5.7869,25,7,0,0.49,12,0
0,0,841,6.2615,29,11,0,1.21,12,0
0,0,784,6.7032,28,9,0,0.81,13,1
0,0,784,6.6201,28,10,0,1.0,12,1
0,0,576,6.2634,24,1,0,0.01,17,1
0,0,1024,7.0255,32,14,0,1.96,12,1
0,0,784,6.4378,28,10,0,1.0,12,1
0,0,625,6.5723,25,5,0,0.25,14,1
0,0,961,6.3818,31,13,0,1.69,12,0
0,0,729,6.0014,27,4,0,0.16,17,1
1,0,784,6.5147,28,10,0,1.0,12,1
1,0,625,6.0958,25,7,0,0.49,12,1
1,0,576,6.1903,24,6,0,0.36,12,1
1,0,1156,6.5439,34,19,0,3.61,9,1
1,1,625,6.5511,25,7,0,0.49,12,1
1,1,576,5.7838,24,6,0,0.36,12,1
1,0,625,6.3208,25,10,0,1.0,9,1
1,0,676,5.7838,26,8,0,0.64,12,1
1,0,676,6.5043,26,7,0,0.49,13,1
1,0,961,7.7849,31,7,0,0.49,18,1
1,0,625,6.6307,25,3,0,0.09,16,1
1,0,1156,6.8937,34,12,0,1.44,16,1
1,0,625,6.3578,25,7,0,0.49,12,1
1,0,841,5.656,29,6,0,0.36,17,0
1,1,784,5.4424,28,8,0,0.64,14,1
1,0,625,6.2403,25,7,0,0.49,12,1
1,0,784,6.4216,28,7,0,0.49,15,1
1,0,625,6.5511,25,4,0,0.16,15,1
1,0,1089,6.5709,33,9,0,0.81,18,1
1,0,900,6.5525,30,15,0,2.25,9,1
1,0,576,6.1356,24,6,1,0.36,12,1
1,0,784,6.7662,28,4,0,0.16,18,1
1,0,841,6.8211,29,7,0,0.49,16,0
1,0,729,6.9707,27,9,0,0.81,12,1
1,1,841,5.9915,29,11,0,1.21,12,1
1,0,729,6.4615,27,9,0,0.81,12,1
1,0,576,5.6525,24,5,0,0.25,13,1
1,1,729,6.463,27,4,0,0.16,17,1
1,0,1024,5.9636,32,13,0,1.69,13,1
1,0,625,6.9177,25,7,0,0.49,12,1
1,0,576,6.7056,24,6,0,0.36,12,0
1,0,729,6.8824,27,4,0,0.16,17,1
1,0,841,6.6201,29,11,1,1.21,12,1
1,0,576,6.1377,24,3,0,0.09,15,0
1,0,784,7.2349,28,10,0,1.0,12,1
1,0,625,6.3578,25,7,0,0.49,12,1
1,0,729,5.994,27,9,0,0.81,12,1
1,0,676,5.7683,26,10,0,1.0,10,1
1,0,729,6.2422,27,9,0,0.81,12,1
1,0,625,5.3375,25,8,0,0.64,11,1
1,0,729,7.0834,27,4,0,0.16,17,1
1,0,676,6.4378,26,6,0,0.36,14,1
1,0,1156,6.1759,34,11,0,1.21,17,1
1,0,729,6.5709,27,8,0,0.64,13,1
1,0,729,6.4378,27,10,0,1.0,11,1
1,0,900,6.3154,30,12,0,1.44,12,1
1,0,1156,6.3613,34,16,0,2.56,12,1
1,0,784,6.7346,28,4,0,0.16,18,1
1,0,1089,7.5616,33,9,0,0.81,18,1
1,0,676,6.6921,26,4,0,0.16,16,1
1,0,841,5.8406,29,11,1,1.21,12,1
1,0,1024,6.869,32,14,0,1.96,12,1
1,0,1024,6.3969,32,14,0,1.96,12,0
1,0,1156,6.7298,34,10,0,1.0,18,1
1,0,576,6.4378,24,2,0,0.04,16,1
1,0,784,6.3333,28,6,0,0.36,16,1
1,0,784,7.2513,28,6,0,0.36,16,1
1,0,625,6.1738,25,7,0,0.49,12,1
1,0,576,6.3969,24,6,0,0.36,12,1
1,0,784,5.7038,28,13,0,1.69,9,1
1,0,625,6.2246,25,10,0,1.0,9,1
1,0,625,6.0331,25,5,1,0.25,14,1
1,0,576,5.7038,24,6,1,0.36,12,1
1,0,729,6.7627,27,3,0,0.09,18,1
1,0,625,5.7038,25,3,0,0.09,16,1
1,0,1024,6.5806,32,14,0,1.96,12,1
1,0,1156,6.7523,34,16,0,2.56,12,1
1,0,900,6.6039,30,14,0,1.96,10,1
1,0,961,6.9641,31,8,1,0.64,17,1
1,0,1024,6.271,32,14,1,1.96,12,1
1,0,1156,6.3491,34,17,0,2.89,11,1
1,0,1024,6.6908,32,14,0,1.96,12,0
1,0,900,5.9915,30,14,0,1.96,10,1
1,0,841,6.869,29,5,0,0.25,18,1
1,0,729,6.7056,27,3,0,0.09,18,1
1,0,784,6.6067,28,9,0,0.81,13,1
1,0,900,6.5806,30,6,0,0.36,18,1
1,0,576,6.8167,24,0,0,0.0,18,1
1,0,729,5.9375,27,4,0,0.16,17,1
1,0,676,5.8579,26,6,0,0.36,14,1
1,0,1089,6.5425,33,16,0,2.56,11,1
1,1,1024,6.9217,32,14,0,1.96,12,1
1,0,1156,7.0353,34,10,0,1.0,18,1
1,0,900,7.4437,30,6,0,0.36,18,1
1,0,676,6.271,26,8,0,0.64,12,1
1,0,1024,6.5117,32,9,1,0.81,17,1
1,0,784,6.9177,28,5,0,0.25,17,1
1,0,784,6.7405,28,4,0,0.16,18,1
1,0,729,6.5653,27,10,0,1.0,11,1
1,0,676,6.7093,26,4,0,0.16,16,0
1,0,576,6.1026,24,6,0,0.36,12,1
1,0,625,6.2146,25,4,0,0.16,15,1
1,0,961,6.9556,31,9,0,0.81,16,1
1,0,841,7.0917,29,5,0,0.25,18,1
1,0,1089,6.5367,33,15,0,2.25,12,1
1,0,784,6.4739,28,6,0,0.36,16,1
1,0,900,6.7742,30,11,0,1.21,13,1
1,0,625,6.3063,25,2,0,0.04,17,1
1,0,784,6.3969,28,15,0,2.25,7,1
1,0,1156,7.716,34,13,0,1.69,15,1
1,0,961,7.2738,31,13,0,1.69,12,1
1,0,1156,5.7683,34,16,1,2.56,12,1
1,0,1089,7.1405,33,9,0,0.81,18,1
1,0,576,6.3969,24,6,0,0.36,12,1
1,0,676,5.7038,26,9,1,0.81,11,1
1,0,576,6.2879,24,2,0,0.04,16,1
1,0,1089,6.612,33,15,0,2.25,12,0
1,0,1089,6.7405,33,15,0,2.25,12,1
1,0,841,6.7007,29,7,0,0.49,16,1
1,0,784,6.9078,28,10,0,1.0,12,1
1,0,676,6.3297,26,4,0,0.16,16,1
1,0,676,5.6525,26,2,0,0.04,18,1
1,0,729,6.0799,27,5,0,0.25,16,1
1,0,625,5.7838,25,6,0,0.36,13,1
1,0,784,6.363,28,6,0,0.36,16,1
1,0,676,6.3767,26,4,1,0.16,16,1
1,0,841,6.6859,29,5,0,0.25,18,1
1,0,625,5.743,25,5,0,0.25,14,1
1,0,841,5.5215,29,11,1,1.21,12,1
1,0,729,6.2146,27,6,1,0.36,15,1
1,0,1089,6.6201,33,15,1,2.25,12,1
1,1,961,5.8377,31,12,0,1.44,13,1
1,0,784,5.5215,28,7,0,0.49,15,1
1,0,576,6.5511,24,2,0,0.04,16,1
1,0,625,5.9915,25,7,0,0.49,12,1
1,0,729,6.319,27,4,0,0.16,17,1
1,0,784,6.5497,28,7,0,0.49,15,1
1,0,576,7.5616,24,4,0,0.16,14,1
1,0,1024,7.1033,32,8,0,0.64,18,1
1,0,841,6.4216,29,7,0,0.49,16,1
1,0,625,6.6134,25,5,0,0.25,14,1
1,0,576,6.1269,24,2,0,0.04,16,1
1,0,625,6.4723,25,1,0,0.01,18,1
1,0,625,6.6134,25,7,0,0.49,12,1
1,1,625,6.7032,25,3,0,0.09,16,1
1,0,961,6.7627,31,9,0,0.81,16,1
1,0,784,6.2953,28,10,0,1.0,12,1
1,0,729,5.8999,27,8,0,0.64,13,1
1,0,576,6.0331,24,8,0,0.64,10,1
1,0,729,6.4877,27,5,0,0.25,16,1
1,0,676,6.271,26,5,0,0.25,15,1
1,0,841,6.7464,29,6,0,0.36,17,1
1,0,625,6.4968,25,7,0,0.49,12,1
1,0,576,6.271,24,2,0,0.04,16,1
1,0,784,6.7901,28,4,0,0.16,18,1
1,1,784,6.7627,28,5,0,0.25,17,1
1,1,676,5.4424,26,2,0,0.04,18,1
1,1,1024,6.6871,32,14,0,1.96,12,0
1,0,729,6.2785,27,8,0,0.64,13,1
1,0,625,6.6529,25,4,1,0.16,15,1
1,0,576,6.1654,24,4,1,0.16,14,1
1,0,1089,6.7627,33,11,0,1.21,16,1
1,0,784,6.9217,28,6,0,0.36,16,0
1,0,1024,6.463,32,8,0,0.64,18,1
1,0,576,5.8081,24,2,0,0.04,16,1
1,0,1156,6.3208,34,17,1,2.89,11,1
1,0,676,6.2691,26,2,0,0.04,18,1
1,0,676,6.4536,26,8,0,0.64,12,1
1,1,729,6.2146,27,10,1,1.0,11,1
1,0,1156,7.051,34,12,1,1.44,16,1
1,0,676,6.7511,26,2,0,0.04,18,1
1,0,784,6.1717,28,10,0,1.0,12,0
1,1,625,6.7056,25,1,0,0.01,18,1
1,0,841,6.5396,29,5,0,0.25,18,1
1,0,1089,6.8967,33,11,0,1.21,16,0
1,1,961,6.1026,31,9,0,0.81,16,1
1,0,1156,6.9098,34,10,0,1.0,18,1
1,0,1156,7.1237,34,10,0,1.0,18,1
1,0,1024,6.8255,32,12,0,1.44,14,0
1,0,784,6.3474,28,10,0,1.0,12,1
1,0,961,6.2634,31,13,0,1.69,12,1
1,0,784,7.051,28,10,0,1.0,12,1
1,0,576,6.1738,24,6,1,0.36,12,1
1,0,576,6.7322,24,7,0,0.49,11,1
1,0,1089,7.2457,33,13,0,1.69,14,1
1,0,729,5.9915,27,8,1,0.64,13,1
1,0,1089,6.5653,33,15,0,2.25,12,1
1,0,576,6.4536,24,4,0,0.16,14,1
1,0,676,5.961,26,7,0,0.49,13,1
1,0,676,6.5338,26,8,0,0.64,12,1
1,0,1156,6.4457,34,16,0,2.56,12,1
1,0,1156,6.9508,34,13,0,1.69,15,1
1,0,576,6.3578,24,6,0,0.36,12,1
1,0,625,6.2146,25,7,0,0.49,12,1
1,0,1156,6.6606,34,16,0,2.56,12,0
1,0,676,6.3578,26,7,0,0.49,13,1
1,0,625,6.2634,25,6,0,0.36,13,1
1,0,784,5.9532,28,5,0,0.25,17,1
1,0,841,6.4378,29,11,0,1.21,12,1
1,0,784,6.4378,28,6,0,0.36,16,1
1,0,676,6.1633,26,7,0,0.49,13,1
1,0,625,6.4907,25,5,0,0.25,14,1
1,0,576,6.0521,24,2,0,0.04,16,1
